"HBCode,C,50","HBName,C,254","Shape_Leng,N,19,11","Shape_Area,N,19,11"
S08000015,Ayrshire and Arran,679782.30448400000,3408802228.88000000000
S08000016,Borders,525406.70759700000,4742684960.30000000000
S08000017,Dumfries and Galloway,830301.19566700000,6676314851.37000000000
S08000019,Forth Valley,430568.33592100000,2733658721.20000000000
S08000020,Grampian,802844.27131000000,8800885267.67000000000
S08000022,Highland,8486537.67501000000,33637044520.10000000000
S08000024,Lothian,378923.09707300000,1760804005.65000000000
S08000025,Orkney,1589228.17736000000,1086210772.17000000000
S08000026,Shetland,2211513.89819000000,1656618008.29000000000
S08000028,Western Isles,3723205.05752000000,3268473326.08000000000
S08000029,Fife,367934.32408800000,1373332396.35000000000
S08000030,Tayside,677992.59199800000,7684366162.94000000000
S08000031,Greater Glasgow and Clyde,308045.84692800000,1150742248.03000000000
S08000032,Lanarkshire,377969.16405100000,2246331440.39000000000
